Fecha,IPC,Variacion_Interanual_%,Variacion_Mensual_%
2019-01-01,69.65,3.95,0.03
2019-02-01,70.19,4.09,0.77
2019-03-01,70.47,4.14,0.4
2019-04-01,71.12,4.86,0.92
2019-05-01,71.37,5.14,0.36
2019-06-01,71.44,4.8,0.09
2019-07-01,71.63,4.69,0.27
2019-08-01,71.67,4.29,0.06
2019-09-01,71.78,4.42,0.15
2019-10-01,71.95,4.08,0.24
2019-11-01,72.17,3.84,0.3
2019-12-01,72.47,4.08,0.42
2020-01-01,72.65,4.3,0.24
2020-02-01,72.99,3.99,0.47
2020-03-01,73.21,3.88,0.3
2020-04-01,73.48,3.33,0.38
2020-05-01,73.01,2.29,-0.64
2020-06-01,73.34,2.65,0.44
2020-07-01,73.86,3.1,0.71
2020-08-01,73.99,3.22,0.18
2020-09-01,74.23,3.39,0.32
2020-10-01,74.59,3.65,0.49
2020-11-01,74.93,3.82,0.46
2020-12-01,75.38,4.01,0.6
2021-01-01,75.68,4.18,0.4
2021-02-01,75.81,3.87,0.17
2021-03-01,76.09,3.94,0.37
2021-04-01,76.4,3.96,0.4
2021-05-01,76.55,4.84,0.2
2021-06-01,76.76,4.67,0.28
2021-07-01,77.0,4.26,0.31
2021-08-01,77.3,4.48,0.39
2021-09-01,77.65,4.62,0.45
2021-10-01,78.06,4.65,0.53
2021-11-01,78.65,4.95,0.75
2021-12-01,79.4,5.32,0.96
2022-01-01,80.37,6.18,1.22
2022-02-01,80.65,6.37,0.35
2022-03-01,81.41,6.96,0.94
2022-04-01,82.79,8.35,1.69
2022-05-01,83.52,9.09,0.88
2022-06-01,84.62,10.22,1.32
2022-07-01,85.37,10.86,0.89
2022-08-01,85.35,10.4,-0.03
2022-09-01,85.46,10.04,0.13
2022-10-01,86.02,10.18,0.66
2022-11-01,86.86,10.44,0.98
2022-12-01,87.18,9.8,0.37
2023-01-01,87.55,8.93,0.42
2023-02-01,88.57,9.8,1.16
2023-03-01,88.78,9.05,0.24
2023-04-01,88.95,7.44,0.19
2023-05-01,89.01,6.58,0.07
2023-06-01,89.36,5.6,0.39
2023-07-01,89.77,5.15,0.46
2023-08-01,90.22,5.71,0.5
2023-09-01,90.7,6.13,0.53
2023-10-01,91.04,5.84,0.38
2023-11-01,91.23,5.04,0.21
2023-12-01,91.7,5.19,0.52
2024-01-01,91.92,5.0,0.23
2024-02-01,92.54,4.5,0.68
2024-03-01,93.0,4.76,0.49
2024-04-01,93.26,4.84,0.28
2024-05-01,93.41,4.94,0.16
2024-06-01,93.71,4.87,0.32
2024-07-01,94.31,5.06,0.64
2024-08-01,94.72,4.99,0.43
2024-09-01,94.76,4.49,0.05
2024-10-01,94.72,4.05,-0.05
2024-11-01,94.83,3.94,0.11
2024-12-01,95.26,3.88,0.45
2025-01-01,95.84,4.27,0.61
2025-02-01,96.94,4.75,1.15
2025-03-01,97.18,4.49,0.24
2025-04-01,97.35,4.39,0.18
2025-05-01,97.65,4.54,0.31
2025-06-01,98.08,4.67,0.44
2025-07-01,98.47,4.41,0.4
2025-08-01,98.66,4.16,0.2
2025-09-01,99.07,4.55,0.41
2025-10-01,99.31,4.85,0.24
2025-11-01,99.66,5.09,0.35
2025-12-01,100.0,4.98,0.35
2026-01-01,99.89,4.23,-0.11
2026-02-01,100.29,3.46,0.4
2026-03-01,101.01,3.9411,0.72
2026-04-01,102.76,5.56,1.73
2026-05-01,103.6,6.09,0.82
2026-06-01,103.8,5.83,0.19
2026-07-01,103.96,5.58,0.15
2026-08-01,104.7816,6.2047,0.7903
