Fecha,IPC,Variacion_Interanual_%,Variacion_Mensual_%
2023-10-01,91.04,5.84,0.38
2023-11-01,91.23,5.04,0.21
2023-12-01,91.7,5.19,0.52
2024-01-01,91.92,5.0,0.23
2024-02-01,92.54,4.5,0.68
2024-03-01,93.0,4.76,0.49
2024-04-01,93.26,4.84,0.28
2024-05-01,93.41,4.94,0.16
2024-06-01,93.71,4.87,0.32
2024-07-01,94.31,5.06,0.64
2024-08-01,94.72,4.99,0.43
2024-09-01,94.76,4.49,0.05
2024-10-01,94.72,4.05,-0.05
2024-11-01,94.83,3.94,0.11
2024-12-01,95.26,3.88,0.45
2025-01-01,95.84,4.27,0.61
2025-02-01,96.94,4.75,1.15
2025-03-01,97.18,4.49,0.24
2025-04-01,97.35,4.39,0.18
2025-05-01,97.65,4.54,0.31
2025-06-01,98.08,4.67,0.44
2025-07-01,98.47,4.41,0.4
2025-08-01,98.66,4.16,0.2
2025-09-01,99.07,4.55,0.41
2025-10-01,99.31,4.85,0.24
2025-11-01,99.66,5.09,0.35
2025-12-01,100.0,4.98,0.35
2026-01-01,99.89,4.23,-0.11
2026-02-01,100.29,3.46,0.4
2026-03-01,101.01,3.9411,0.72
2026-04-01,102.76,5.56,1.73
2026-05-01,103.6,6.09,0.82
2026-06-01,103.8,5.83,0.19
2026-06-01,103.8,5.83,0.19
2026-07-01,103.96,5.58,0.15
2026-08-01,104.7816,6.2047,0.7903
